EC Numbers,Occurrence
3.1.22.4,1
3.4.21.53,3
3.4.21.50,1
4.2.1.126,1
3.5.4.23,1
2.5.1.54,4
2.1.1.151,1
1.7.99.4,2
3.4.21.107,2
3.4.21.105,2
4.6.1.12,1
1.5.1.49,1
2.7.1.12,1
2.7.1.15,3
2.7.1.17,2
2.7.1.16,1
1.3.1.12,1
1.1.5.-,3
2.4.1.248,1
1.14.13.127,1
1.1.5.2,2
2.7.1.170,1
5.3.1.6,1
2.1.1.72,1
3.1.26.4,2
3.1.26.5,1
2.1.1.77,1
3.1.1.31,2
4.3.2.1,2
4.3.2.2,1
4.3.2.3,2
1.10.3.14,2
2.8.1.10,1
1.13.11.46,2
1.17.4.1,3
5.4.3.-,1
1.3.1.103,3
2.6.1.62,1
4.1.2.4,1
2.8.1.-,1
1.10.3.-,3
1.16.3.1,1
1.1.1.47,3
2.4.1.109,1
2.8.1.8,1
2.8.1.1,5
2.8.1.6,1
2.8.1.7,7
1.2.1.62,2
4.2.1.20,3
3.6.3.14,2
4.2.1.25,1
1.1.-.-,2
2.3.1.41,9
5.1.1.1,1
1.8.7.1,1
2.7.8.-,1
5.5.1.13,2
2.3.1.168,1
2.4.2.1,1
6.3.2.17,1
2.7.8.5,2
2.7.8.7,4
6.3.2.10,2
1.2.1.70,1
1.8.1.4,2
4.2.1.11,1
2.7.7.18,1
1.14.13.24,3
1.14.13.25,1
1.8.1.9,4
2.7.7.12,1
4.2.1.156,1
1.4.3.16,1
4.2.1.154,3
2.4.1.-,18
2.7.9.3,1
4.2.1.150,4
1.4.3.10,1
1.7.-.-,6
1.4.1.11,1
1.4.1.13,3
2.7.8.26,1
2.7.8.23,1
3.2.1.165,1
2.7.8.28,1
6.3.4.21,2
5.3.3.2,1
6.6.1.2,1
6.5.1.2,1
6.5.1.1,4
3.6.3.36,2
2.1.1.144,4
2.7.4.25,3
2.1.1.148,1
3.6.3.31,2
2.4.1.293,1
1.14.13.92,1
1.2.4.1,3
2.7.1.49,1
2.5.1.78,1
2.7.7.70,2
2.5.1.75,1
1.8.4.12,3
2.5.1.77,1
6.5.1.-,3
2.5.1.72,2
5.3.1.8,1
5.3.1.9,2
2.1.1.44,1
2.1.1.45,2
3.5.3.1,1
3.1.3.21,1
5.3.1.1,1
3.5.3.4,1
3.1.3.25,4
5.3.1.5,2
6.3.1.19,1
2.6.1.-,5
5.1.1.17,2
2.7.4.8,1
6.3.1.13,1
1.2.1.88,2
3.5.1.104,3
3.1.1.72,1
6.3.3.3,1
1.2.1.83,1
6.2.1.26,1
1.6.5.12,1
2.1.1.37,2
1.1.5.3,2
2.1.2.2,1
2.1.1.33,1
1.7.3.3,1
2.7.4.6,1
5.1.3.32,1
3.7.1.13,1
1.2.7.3,2
5.1.3.31,2
3.7.1.17,1
3.1.11.6,2
1.4.99.-,1
1.14.13.182,2
4.4.1.11,2
1.1.1.281,1
1.14.13.188,2
2.7.7.27,2
3.1.11.5,2
1.2.-.-,1
2.7.1.20,1
2.7.1.21,1
6.2.1.3,12
2.7.1.24,1
2.7.1.25,1
1.7.1.4,2
4.1.3.30,2
3.4.14.11,1
1.14.13.114,1
1.14.13.113,5
3.1.2.12,1
2.1.1.193,1
2.1.1.192,1
2.1.1.197,1
2.7.4.9,4
2.1.1.195,1
1.4.1.23,1
2.1.1.199,1
3.6.3.12,1
2.7.4.1,1
2.7.4.3,1
1.4.1.1,1
1.4.1.2,1
1.4.1.4,1
4.1.1.98,1
1.14.15.3,1
2.7.6.1,2
2.6.1.16,3
2.6.1.17,1
1.2.1.-,3
3.5.2.12,1
2.6.1.13,1
3.5.2.17,1
2.6.1.11,2
1.1.1.370,1
4.1.1.31,1
2.6.1.19,2
1.14.12.15,1
1.14.12.17,3
1.2.1.8,4
1.7.1.6,1
1.2.1.5,1
1.2.1.4,1
1.2.1.3,1
1.2.1.2,4
1.4.3.3,2
1.2.1.38,1
2.5.1.47,1
1.4.3.5,7
4.2.1.10,2
6.2.1.41,2
3.5.-.-,2
3.1.2.-,8
1.1.1.179,1
4.2.1.17,5
3.5.1.77,1
3.1.4.-,3
3.6.1.55,3
1.14.14.18,1
3.1.2.6,2
3.4.16.4,5
2.8.1.13,1
2.1.1.198,1
1.4.3.-,2
3.1.1.95,1
2.5.1.7,2
2.3.1.193,1
2.4.1.129,1
3.7.1.9,1
2.7.2.8,1
2.7.7.65,4
6.3.2.29,1
2.7.7.60,1
2.6.1.86,1
5.1.3.2,4
5.1.3.3,1
3.7.1.3,1
5.1.3.7,1
2.7.2.4,1
1.1.1.306,2
3.3.2.10,6
2.7.1.90,2
2.7.1.92,1
1.14.13.185,1
1.1.1.371,1
3.4.14.-,3
1.3.1.98,1
4.1.2.9,1
3.1.4.46,5
2.4.2.14,1
2.4.2.17,1
1.3.99.-,15
3.2.1.37,2
2.4.2.10,2
3.5.4.19,1
1.1.1.274,1
1.3.8.3,1
3.5.4.16,2
1.14.-.-,12
3.5.4.13,1
2.4.2.18,1
3.5.3.22,1
1.1.1.94,1
1.1.1.95,2
1.3.8.-,3
4.2.1.144,1
2.1.1.226,1
1.8.1.14,1
1.14.13.141,1
2.1.3.-,1
3.4.21.62,6
2.3.1.122,1
1.14.14.3,1
2.3.1.233,1
1.14.13.149,1
1.14.14.8,1
3.1.2.29,1
4.1.2.25,1
5.4.2.6,1
2.1.3.3,1
2.1.3.2,1
2.8.3.22,2
2.-.-.-,5
3.5.1.-,9
2.3.1.47,1
2.7.1.165,1
3.5.1.9,1
3.1.1.24,1
2.1.1.-,23
3.1.13.5,1
3.1.1.29,2
3.4.21.92,3
3.5.1.1,1
3.5.1.4,2
3.5.1.5,3
2.1.1.254,1
2.1.1.255,1
1.13.11.79,2
4.2.1.19,1
2.3.1.245,1
2.1.1.316,1
2.5.1.3,2
2.6.1.52,1
5.3.1.30,1
3.4.16.-,1
