EC Numbers,Occurrence
3.9.1.-,1
1.1.1.133,1
2.7.1.63,1
2.3.1.178,1
6.1.1.5,1
3.5.-.-,2
4.1.3.17,1
4.2.1.51,1
4.2.1.53,1
6.3.1.5,2
3.1.2.-,10
3.6.1.17,1
1.2.1.79,6
3.6.1.13,1
6.3.1.2,4
4.1.3.26,1
2.1.1.220,1
2.7.2.3,1
2.1.1.222,5
1.8.4.12,1
6.1.1.1,1
1.8.4.11,1
2.1.1.228,1
6.3.3.5,1
6.3.3.3,1
3.6.4.-,7
6.3.3.1,1
2.3.2.-,4
3.4.11.1,2
6.3.5.3,3
6.3.5.2,1
6.3.5.5,3
1.14.13.38,1
2.7.7.24,1
1.6.5.5,3
1.4.3.23,1
1.14.13.33,1
5.5.1.4,1
1.1.1.340,1
1.1.1.343,1
2.4.1.21,1
6.3.5.-,2
3.1.22.4,1
3.6.3.17,4
2.5.1.19,1
2.5.1.18,1
1.10.3.4,1
2.10.1.1,3
1.5.3.10,1
2.5.1.10,1
2.5.1.17,2
2.5.1.16,1
2.5.1.15,1
4.4.1.11,3
5.4.2.10,1
5.4.2.11,1
5.4.2.12,1
4.4.1.15,1
3.4.24.-,12
3.6.3.8,1
3.6.3.12,1
2.7.4.16,1
1.14.99.50,1
1.11.1.-,7
2.1.1.133,1
2.1.1.132,1
3.1.1.83,1
3.2.1.141,1
3.6.3.29,1
2.3.1.51,1
3.6.3.27,1
2.3.1.57,1
3.6.3.25,2
1.1.1.38,1
2.4.99.16,1
3.1.3.18,2
3.1.3.16,1
1.1.1.31,1
3.1.3.15,1
3.1.3.12,1
3.4.17.11,2
3.1.3.11,1
2.5.1.88,1
6.1.1.23,1
1.8.1.2,1
1.3.99.33,1
2.3.1.9,3
2.3.1.8,1
3.3.1.1,1
4.1.1.11,1
3.5.1.2,1
5.4.2.8,1
4.1.1.15,1
2.4.2.21,1
4.2.1.47,2
2.3.3.9,1
2.3.1.-,32
3.6.3.24,1
5.4.4.2,2
2.7.8.13,2
1.1.1.47,4
1.14.13.165,1
3.1.4.3,1
1.5.1.2,1
2.3.3.5,1
1.1.1.42,1
2.5.1.3,1
5.1.3.26,1
1.1.5.4,1
4.99.1.4,1
1.97.1.12,1
2.3.3.16,2
2.3.1.117,1
2.3.3.13,3
1.5.99.14,1
2.7.13.3,36
2.8.4.3,1
2.8.4.2,1
2.4.1.266,1
1.1.2.-,1
3.5.99.2,1
3.5.1.110,1
1.3.1.54,1
3.5.99.6,3
6.5.1.2,1
2.4.1.227,2
2.7.1.33,3
2.7.1.30,2
1.3.99.29,1
2.7.2.8,1
2.7.1.35,1
1.1.1.30,1
2.7.7.65,10
1.14.11.33,1
3.4.21.26,1
3.1.1.10,2
1.14.13.107,5
6.6.1.2,1
1.14.11.39,2
2.4.1.11,3
2.1.1.182,1
