Color,Label,DomPorColor,MaxPorColor,VoidFracgtioColor,Surface_graColor,Surface_voColor,Hitblue,Hitred
#FF554D,blue(395)&nbsp;red(15),#4A4A4A,#474747,#A1A1A1,#797979,#D0D0D0,395,15
#FF4DD1,blue(338)&nbsp;red(8),#454545,#434343,#A2A2A2,#848484,#E1E1E1,338,8
#FF4DF4,blue(409)&nbsp;red(9),#3F3F3F,#3D3D3D,#A3A3A3,#919191,#F4F4F4,409,9
#FF4DFC,blue(816)&nbsp;red(24),#3B3B3B,#3A3A3A,#A3A3A3,#979797,#FFFFFF,816,24
#8EFF4D,blue(414)&nbsp;red(28),#6C6C6C,#666666,#8C8C8C,#424242,#777777,414,28
#83FF4D,blue(504)&nbsp;red(26),#6A6A6A,#636363,#919191,#4B4B4B,#848484,504,26
#6BFF4D,blue(261)&nbsp;red(18),#656565,#5F5F5F,#9B9B9B,#5A5A5A,#999999,261,18
#58FF4D,blue(285)&nbsp;red(16),#616161,#5B5B5B,#A3A3A3,#676767,#AAAAAA,285,16
#4DFF4E,blue(269)&nbsp;red(19),#5D5D5D,#585858,#A8A8A8,#707070,#B6B6B6,269,19
#FF574D,blue(310)&nbsp;red(16),#5A5A5A,#555555,#AAAAAA,#787878,#C1C1C1,310,16
#FF4F4D,blue(424)&nbsp;red(9),#565656,#515151,#AAAAAA,#808080,#CDCDCD,424,9
#FF4DD6,blue(391)&nbsp;red(2),#515151,#4D4D4D,#AAAAAA,#888888,#DADADA,391,2
#FF4DF6,blue(323)&nbsp;red(6),#494949,#474747,#AAAAAA,#959595,#ECECEC,323,6
#FD4DFF,blue(656)&nbsp;red(17),#434343,#414141,#AAAAAA,#9E9E9E,#FCFCFC,656,17
#70FF4D,blue(361)&nbsp;red(15),#868686,#7F7F7F,#AAAAAA,#5A5A5A,#888888,361,15
#5BFF4D,blue(319)&nbsp;red(19),#7F7F7F,#797979,#AEAEAE,#656565,#979797,319,19
#4DFF51,blue(319)&nbsp;red(22),#767676,#707070,#B1B1B1,#717171,#A8A8A8,319,22
#4DFF69,blue(361)&nbsp;red(14),#6E6E6E,#686868,#B3B3B3,#797979,#B4B4B4,361,14
#4DFF77,blue(288)&nbsp;red(10),#676767,#626262,#B4B4B4,#818181,#BEBEBE,288,10
#FF4DDB,blue(297)&nbsp;red(13),#626262,#5D5D5D,#B4B4B4,#888888,#C9C9C9,297,13
#FF4DE4,blue(486)&nbsp;red(10),#5D5D5D,#595959,#B3B3B3,#8F8F8F,#D4D4D4,486,10
#F24DFF,blue(365)&nbsp;red(14),#555555,#525252,#B2B2B2,#999999,#E3E3E3,365,14
#D24DFF,blue(394)&nbsp;red(19),#4C4C4C,#4A4A4A,#B2B2B2,#A5A5A5,#F5F5F5,394,19
#CC4DFF,blue(918)&nbsp;red(19),#484848,#464646,#B2B2B2,#ABABAB,#FFFFFF,918,19
#4DFF59,blue(346)&nbsp;red(11),#A2A2A2,#9B9B9B,#C4C4C4,#6E6E6E,#8A8A8A,346,11
#4DFF61,blue(306)&nbsp;red(17),#9A9A9A,#949494,#C3C3C3,#747474,#949494,306,17
#4DFF6F,blue(329)&nbsp;red(16),#8E8E8E,#888888,#C2C2C2,#7E7E7E,#A3A3A3,329,16
#4DFF7C,blue(302)&nbsp;red(22),#828282,#7C7C7C,#C0C0C0,#868686,#AFAFAF,302,22
#4DFF97,blue(325)&nbsp;red(15),#787878,#727272,#BFBFBF,#8D8D8D,#B9B9B9,325,15
#4DFF9D,blue(391)&nbsp;red(19),#6F6F6F,#6A6A6A,#BDBDBD,#939393,#C3C3C3,391,19
#ED4DFF,blue(420)&nbsp;red(12),#686868,#646464,#BCBCBC,#989898,#CECECE,420,12
#E74DFF,blue(518)&nbsp;red(14),#626262,#5E5E5E,#BBBBBB,#9E9E9E,#D9D9D9,518,14
#D74DFF,blue(349)&nbsp;red(5),#585858,#555555,#BABABA,#A9A9A9,#E9E9E9,349,5
#C44DFF,blue(709)&nbsp;red(14),#505050,#4E4E4E,#B9B9B9,#B3B3B3,#F8F8F8,709,14
#4DFF87,blue(439)&nbsp;red(16),#B3B3B3,#ADADAD,#D7D7D7,#878787,#8D8D8D,439,16
#4DFF8C,blue(265)&nbsp;red(11),#A5A5A5,#A0A0A0,#D3D3D3,#8E8E8E,#9B9B9B,265,11
#4DFFA5,blue(280)&nbsp;red(17),#959595,#8F8F8F,#CECECE,#959595,#A8A8A8,280,17
#4DFFA7,blue(307)&nbsp;red(16),#898989,#848484,#CACACA,#9A9A9A,#B2B2B2,307,16
#4DFFAD,blue(332)&nbsp;red(15),#7E7E7E,#797979,#C7C7C7,#9E9E9E,#BCBCBC,332,15
#E24DFF,blue(392)&nbsp;red(10),#757575,#707070,#C5C5C5,#A2A2A2,#C6C6C6,392,10
#DF4DFF,blue(527)&nbsp;red(13),#6D6D6D,#696969,#C4C4C4,#A6A6A6,#D1D1D1,527,13
#B94DFF,blue(406)&nbsp;red(12),#656565,#606060,#C2C2C2,#AEAEAE,#DEDEDE,406,12
#A64DFF,blue(346)&nbsp;red(4),#5B5B5B,#585858,#C0C0C0,#BABABA,#EFEFEF,346,4
#9C4DFF,blue(867)&nbsp;red(20),#555555,#535353,#C0C0C0,#C1C1C1,#FAFAFA,867,20
#4DFFBD,blue(389)&nbsp;red(9),#C4C4C4,#BFBFBF,#E5E5E5,#9A9A9A,#838383,389,9
#4DFFC2,blue(222)&nbsp;red(10),#B9B9B9,#B5B5B5,#E0E0E0,#9F9F9F,#8F8F8F,222,10
#4DFFCA,blue(308)&nbsp;red(5),#A7A7A7,#A3A3A3,#D9D9D9,#A6A6A6,#9E9E9E,308,5
#4DFFD0,blue(320)&nbsp;red(7),#989898,#949494,#D5D5D5,#AAAAAA,#AAAAAA,320,7
#4DFFD2,blue(347)&nbsp;red(11),#8C8C8C,#888888,#D2D2D2,#ACACAC,#B4B4B4,347,11
#4DFFD5,blue(347)&nbsp;red(11),#828282,#7E7E7E,#CECECE,#AEAEAE,#BEBEBE,347,11
#B44DFF,blue(410)&nbsp;red(5),#797979,#757575,#CCCCCC,#B1B1B1,#C9C9C9,410,5
#AF4DFF,blue(548)&nbsp;red(14),#707070,#6C6C6C,#CACACA,#B5B5B5,#D4D4D4,548,14
#A14DFF,blue(361)&nbsp;red(7),#666666,#626262,#C8C8C8,#BFBFBF,#E3E3E3,361,7
#894DFF,blue(704)&nbsp;red(14),#5F5F5F,#5C5C5C,#C6C6C6,#CACACA,#F2F2F2,704,14
#4DFFEB,blue(630)&nbsp;red(14),#C9C9C9,#C5C5C5,#ECECEC,#B5B5B5,#7F7F7F,630,14
#4DFFF0,blue(425)&nbsp;red(7),#BABABA,#B6B6B6,#E5E5E5,#BABABA,#909090,425,7
#4DFFF6,blue(544)&nbsp;red(19),#A7A7A7,#A3A3A3,#DFDFDF,#BCBCBC,#A0A0A0,544,19
