RunName.reactor,SampleTimeID,RunName,Reactor,CatalystID,origin,support,catalyst,ActualTempBlock,reactorPressure,ratioCat2support,ratioPromTot2cat,p1,p2,p3,p4,p5,p6,p7,mass,CatalystBedLength,reductionTemp,meanConvCorrected,sdConvCorrected,ArgonArea,H2flow110,N2flow120,Arflow130,COflow140,CO2H2flow150,flow160,flow170,flow180,diluentN2flow300,ElapsedRunTime
20150129_OAN_FLOW_016#18#300#10,38989,20150129_OAN_FLOW_016,18,OAN-DFK00376,DFK,S3,C2,300,9.550000191,6.0506,0.5517,0,1,0,0,0,0,0,0.0609,1.7,120,0,0,1979077,90.01199951,29.98800011,19.88199997,0,0,0,0,0,639.9879883,26.60626946
20150129_OAN_FLOW_016#19#300#10,38990,20150129_OAN_FLOW_016,19,OAN-FIS00002,FIS,S2,C1,299.9899902,10.43000031,2,0.9,0,1,0,0,0,0,0,0.0184,1.6,119.9850007,0,0,1946114.4,90.02399902,30.03800011,19.95599976,0,0,0,0,0,639.9879883,26.68457375
20150129_OAN_FLOW_016#21#300#10,38992,20150129_OAN_FLOW_016,21,OAN-DFK00382,DFK,S3,C2,300.0400085,10.43000031,5,0.7,0,0,0,0,0,0,1,0.0193,0.9,120,0,0,2111496.6,89.99400024,30.0079998,19.94199982,0,0,0,0,0,640.0439942,26.84118271
20150129_OAN_FLOW_016#22#300#10,38993,20150129_OAN_FLOW_016,22,OAN-KNP00119,KNP,S3,C1,300,10.47999954,9,0.4,0,0,0,0,1,0,0,0.0256,1.1,120.0099984,0,0,2147655.4,90,30.05599976,20.06800003,0,0,0,0,0,640.0180054,26.91948662
20150129_OAN_FLOW_016#23#300#10,38994,20150129_OAN_FLOW_016,23,OAN-KNP00118,KNP,S3,C1,300.0299988,10.22999954,9,0.4,0,0,0,0,0,0,1,0.0101,1.5,120,0,0,1902277.2,90,30.07000008,19.96999969,0,0,0,0,0,639.9880005,26.99779243
20150129_OAN_FLOW_016#24#300#10,38995,20150129_OAN_FLOW_016,24,OAN-KNP00141,KNP,S4,C1,300.0100098,10.13000011,9,0.4,0,0,0,0,0,1,0,0.0197,1,120.0149994,0,0,2094434,89.97000122,30.02999973,19.89249992,0,0,0,0,0,639.9774933,27.07609845
20150129_OAN_FLOW_016#25#300#10,38996,20150129_OAN_FLOW_016,25,OAN-KNP00168,KNP,S1,C1,299.9899902,10.39000034,9,0.4,0,0,0,0,0,1,0,0.0174,1.2,119.9800034,0,0,2009441.2,89.98200073,30.15800018,20.05599937,0,0,0,0,0,639.9939941,27.15440254
20150129_OAN_FLOW_016#26#300#10,38997,20150129_OAN_FLOW_016,26,OAN-KNP00117,KNP,S3,C1,300.0499878,10.30000019,9,0.4,0,0,0,1,0,0,0,0.0284,1.5,120.0099984,0,0,2103111,89.99400024,30.08999977,19.99799995,0,0,0,0,0,639.9819946,27.23270645
20150129_OAN_FLOW_016#27#300#10,38998,20150129_OAN_FLOW_016,27,OAN-KNP00142,KNP,S4,C1,300.0100098,10.18999958,9,0.7,0,0,0,0,0,0,1,0.0104,0.9,119.9750023,0,0,1795556.2,89.98800049,29.91799965,20.10400048,0,0,0,0,0,640.0059937,27.31100998
20150129_OAN_FLOW_016#28#300#10,38999,20150129_OAN_FLOW_016,28,OAN-DFK00420,DFK,S1,C2,299.9899902,10.43000031,6.0506,0.5517,0,0,0,0,0,1,0,0.0394,1.4,119.9900017,0,0,1976734.8,89.98800049,29.94399986,20.02600021,0,0,0,0,0,640.0240112,27.38931465
20150129_OAN_FLOW_016#29#300#10,39000,20150129_OAN_FLOW_016,29,OAN-DFK00371,DFK,S3,C2,300.0100098,10.05000019,10,0.1,0.5,0,0.5,0,0,0,0,0.0025,0.9,120.0100021,0,0,1993757.8,90,29.98799973,19.8920002,0,0,0,0,0,640.0060059,27.46762047
20150129_OAN_FLOW_016#30#300#10,39001,20150129_OAN_FLOW_016,30,OAN-KNP00108,KNP,S3,C1,299.9899902,10.51000023,8.2336,0.633,0,0,1,0,0,0,0,0.0364,1.3,119.9900017,0,0,1869641,90,30.00600052,20.02999993,0,0,0,0,0,639.9880005,27.54592476
