reactorPressure,catalyst,support,mass,ratioCat2support,RunName.reactor,ElapsedRunTime,ActualTempBlock,RunName,CatalystID,ratioPromTot2cat,origin,ArgonArea,p1,N2flow120,p2,,,,,flow180,diluentN2flow300,,,,,,,,,,,,,,,,
10.18999958,C2,S1,0.0158,9,20150129_OAN_FLOW_016#32#300#10,27.70253449,300.019989,20150129_OAN_FLOW_016,OAN-DFK00429,0.4,DFK,1960225.2,0,30.10199966,0,,,,,0,640.0060059,,,,,,,,,,,,,,,,
10.35999966,C2,S3,0.0093,9,20150129_OAN_FLOW_016#33#300#10,27.78084068,299.9899902,20150129_OAN_FLOW_016,OAN-DFK00389,0.4,DFK,2100821.8,0,29.86399994,0,,,,,0,639.9999878,,,,,,,,,,,,,,,,
10.46000004,C2,S1,0.0072,10,20150129_OAN_FLOW_016#34#300#10,27.85914574,300.0100098,20150129_OAN_FLOW_016,OAN-DFK00411,0.1,DFK,2018110.8,0.5,29.73799973,0,,,,,0,639.9939942,,,,,,,,,,,,,,,,
10.18000031,C1,S1,0.0189,8.2336,20150129_OAN_FLOW_016#35#300#10,27.93745003,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00162,0.633,KNP,1884994.4,0,29.97000008,0,,,,,0,640.0179932,,,,,,,,,,,,,,,,
10.38000011,C1,S4,0.0112,10,20150129_OAN_FLOW_016#36#300#10,28.01575546,299.980011,20150129_OAN_FLOW_016,OAN-KNP00150,1,KNP,1980163,0.3333,29.98200035,0.3333,,,,,0,640.036023,,,,,,,,,,,,,,,,
10.09000015,C2,S3,0.0426,9,20150129_OAN_FLOW_016#37#300#10,28.09405899,300.019989,20150129_OAN_FLOW_016,OAN-DFK00386,0.7,DFK,2090585.4,0,29.95,0,,,,,0,640.0059937,,,,,,,,,,,,,,,,
9.970000267,C2,S3,0.0104,5,20150129_OAN_FLOW_016#38#300#10,28.17236443,299.9700012,20150129_OAN_FLOW_016,OAN-DFK00393,0.7,DFK,2111239.8,0,29.86200027,0,,,,,0,640,,,,,,,,,,,,,,,,
10.48999977,C2,S1,0.0103,5,20150129_OAN_FLOW_016#39#300#10,28.2506691,299.9700012,20150129_OAN_FLOW_016,OAN-DFK00431,0.7,DFK,2033136.2,0,29.97799949,0,,,,,0,640.023999,,,,,,,,,,,,,,,,
10.27000046,C1,S3,0.0133,10,20150129_OAN_FLOW_016#40#300#10,28.32897377,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00122,0.1,KNP,2006655.8,0.5,29.98800011,0.5,,,,,0,639.9939941,,,,,,,,,,,,,,,,
10.26000023,C1,S3,0.0192,5,20150129_OAN_FLOW_016#41#300#10,28.40727806,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00105,0.4,KNP,2018158.4,0.5,29.93999939,0,,,,,0,640.0180176,,,,,,,,,,,,,,,,
9.880000114,C2,S1,0.0083,10,20150129_OAN_FLOW_016#43#300#10,28.56388969,299.9899902,20150129_OAN_FLOW_016,OAN-DFK00411,0.1,DFK,1968987.8,0.5,29.93800011,0,,,,,0,640.0060059,,,,,,,,,,,,,,,,
10.35000038,C1,S2,0.0362,2,20150129_OAN_FLOW_016#44#300#10,28.64219437,300,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,1884394.2,0,30.18799973,1,,,,,0,639.9759766,,,,,,,,,,,,,,,,
10.25,C1,S1,0.0311,9,20150129_OAN_FLOW_016#46#300#10,28.79880409,300,20150129_OAN_FLOW_016,OAN-KNP00172,0.4,KNP,2060818.6,0,29.92999993,0,,,,,0,639.9939819,,,,,,,,,,,,,,,,
10.30000019,C2,S3,0.0136,9,20150129_OAN_FLOW_016#47#300#10,28.87710686,300.019989,20150129_OAN_FLOW_016,OAN-DFK00396,0.4,DFK,2028259.6,0,30.00599976,0,,,,,0,640.0240113,,,,,,,,,,,,,,,,
10.64000034,C2,S3,0.0177,5,20150129_OAN_FLOW_016#48#300#10,28.95541191,299.9899902,20150129_OAN_FLOW_016,OAN-DFK00397,0.7,DFK,2015925.6,0,29.94599991,0,,,,,0,639.9820068,,,,,,,,,,,,,,,,
10.18000031,C1,S4,0.0187,9,20150129_OAN_FLOW_016#6#300#10,29.51086884,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00145,0.4,KNP,1955908.8,0,30.04399986,0,,,,,0,639.9880005,,,,,,,,,,,,,,,,
10.11999989,C1,S4,0.0187,9,20150129_OAN_FLOW_016#6#350#10,48.32653936,350.0100098,20150129_OAN_FLOW_016,OAN-KNP00145,0.4,KNP,1946575.667,0,30.06833299,0,,,,,0,640.0250041,,,,,,,,,,,,,,,,
