EC Numbers,Occurrence
EC 6.1.1.4,1
EC 6.1.1.5,1
EC 6.1.1.2,1
EC 6.1.1.3,1
EC 6.1.1.1,1
EC 5.4.2.1,2
EC 5.4.2.7,1
EC 5.4.2.6,1
EC 2.4.1.187,1
EC 3.1.3.73,1
EC 1.2.1.70,1
EC 5.4.2.8,1
EC 2.3.1.79,2
EC 2.3.1.168,1
EC 1.1.1.25,1
EC 1.1.1.27,3
EC 1.1.1.23,1
EC 3.2.2.23,1
EC 6.3.5.10,1
EC 3.2.2.21,1
EC 3.6.3.12,3
EC 1.8.1.9,3
EC 1.8.1.4,2
EC 2.7.1.56,1
EC 1.8.1.7,2
EC 3.4.21.88,1
EC 3.4.21.89,3
EC 2.3.1.180,1
EC 1.1.1.267,1
EC 4.1.2.40,2
EC 6.5.1.2,1
EC 2.1.1.107,1
EC 1.4.4.2,2
EC 4.2.1.44,1
EC 1.20.4.1,1
EC 3.5.1.47,1
EC 3.4.17.13,2
EC 3.4.17.19,1
EC 3.4.21.19,1
EC 5.1.3.14,1
EC 1.3.3.4,1
EC 3.5.4.5,1
EC 1.3.3.1,2
EC 1.17.1.2,1
EC 1.3.1.9,3
EC 3.2.1.24,5
EC 4.99.1.3,1
EC 3.2.1.21,8
EC 3.2.1.20,1
EC 3.5.4.19,1
EC 3.5.4.10,1
EC 3.5.4.12,1
EC 3.5.4.16,1
EC 4.6.1.13,1
EC 4.6.1.12,1
EC 4.3.2.2,1
EC 1.5.1.29,1
EC 3.6.1.n1,1
EC 5.1.3.3,1
EC 2.7.1.59,1
EC 2.5.1.30,4
EC 2.5.1.31,1
EC 2.7.1.50,1
EC 1.17.4.1,2
EC 3.6.3.14,9
EC 3.2.1.122,1
EC 6.3.3.2,1
EC 6.3.3.1,1
EC 3.2.2.16,1
EC 3.6.1.13,2
EC 3.6.1.15,1
EC 1.2.1.38,1
EC 2.1.1.33,1
EC 2.1.1.31,1
EC 2.5.1.47,1
EC 2.1.1.37,1
EC 2.5.1.49,1
EC 2.5.1.48,1
EC 2.7.7.18,1
EC 2.7.1.144,1
EC 2.7.1.148,1
EC 4.2.3.5,1
EC 4.2.3.4,1
EC 4.2.3.1,1
EC 4.2.3.3,1
EC 1.3.1.54,1
EC 1.2.1.41,1
EC 2.1.1.223,1
EC 4.2.1.3,1
EC 4.2.1.2,1
EC 4.2.1.106,1
EC 4.2.1.9,1
EC 1.15.1.1,1
EC 2.1.1.130,1
EC 2.1.1.133,1
EC 1.1.1.6,1
EC 1.1.1.1,3
EC 1.1.1.3,1
EC 1.1.1.-,3
EC 1.6.99.3,3
EC 1.1.1.85,1
EC 3.1.1.31,1
EC 2.4.2.1,2
EC 2.4.2.2,1
EC 3.1.11.2,1
EC 2.7.1.12,1
EC 2.7.1.11,1
EC 2.4.2.8,1
EC 2.4.2.9,2
EC 1.1.5.3,1
EC 3.1.4.46,2
EC 4.1.2.4,1
EC 1.4.99.1,1
EC 2.4.2.-,3
EC 6.3.4.13,1
EC 2.7.8.5,1
EC 6.3.4.14,1
EC 2.7.8.7,1
EC 6.3.5.3,3
EC 2.7.8.-,4
EC 6.3.5.4,1
EC 1.2.4.4,2
EC 1.2.4.1,2
EC 2.7.4.25,1
EC 2.1.1.72,2
EC 2.7.4.22,1
EC 1.2.2.2,1
EC 2.7.13.3,1
EC 2.7.1.69,72
EC 2.7.8.13,1
EC 2.7.8.12,1
EC 2.7.7.56,1
EC 3.5.4.2,1
EC 2.1.1.182,1
EC 1.3.1.12,1
EC 2.7.9.1,1
EC 1.3.1.10,1
EC 3.6.1.23,1
EC 2.5.1.75,1
EC 1.11.1.15,1
EC 1.1.1.18,2
EC 4.1.1.81,1
EC 3.4.21.92,2
EC 1.1.1.251,3
EC 4.2.1.75,1
EC 4.2.1.70,5
EC 2.1.1.176,1
EC 3.1.-.-,1
EC 2.7.8.26,1
EC 2.7.1.107,1
EC 1.11.1.6,1
EC 2.1.2.1,1
EC 2.1.2.2,1
EC 2.1.2.9,1
EC 4.1.1.19,1
EC 4.1.1.15,2
EC 4.1.1.11,1
EC 3.6.-.-,1
EC 3.1.1.-,1
EC 3.1.3.5,1
EC 2.7.7.40,1
EC 3.1.3.3,1
EC 6.1.1.14,2
EC 6.1.1.15,1
EC 6.1.1.16,1
EC 6.1.1.17,1
EC 6.1.1.10,1
EC 6.1.1.11,1
EC 6.1.1.12,1
EC 6.1.1.13,2
EC 3.5.4.25,1
EC 3.1.1.5,1
EC 6.1.1.19,1
EC 3.1.1.1,4
EC 2.6.1.21,1
EC 2.7.4.7,2
EC 2.7.4.6,1
EC 2.7.4.3,1
EC 2.7.4.2,1
EC 1.1.1.100,2
EC 2.7.4.9,1
EC 2.7.4.8,1
EC 1.5.1.3,2
EC 2.4.99.-,1
EC 3.5.4.-,1
EC 2.7.1.26,2
EC 2.7.1.24,1
EC 2.7.1.23,2
EC 2.7.1.21,1
EC 4.1.99.3,1
EC 3.2.1.86,6
EC 1.5.1.20,1
EC 2.7.6.5,4
EC 2.7.6.3,1
EC 2.7.6.2,1
EC 3.4.13.21,1
EC 3.5.2.3,1
EC 3.2.1.-,2
EC 2.3.1.89,1
EC 3.1.3.25,1
EC 3.6.4.13,2
EC 1.14.99.3,1
EC 2.7.2.3,1
EC 2.7.2.2,1
EC 2.7.2.1,2
EC 2.7.2.7,1
EC 2.7.2.4,3
EC 2.3.3.10,1
EC 2.7.2.8,1
EC 2.2.1.1,5
EC 4.4.1.8,1
EC 5.2.1.8,4
EC 6.3.2.8,1
EC 2.2.1.7,1
EC 2.2.1.6,3
EC 2.2.1.9,1
EC 4.4.1.5,2
EC 2.7.2.11,1
EC 3.4.-.-,1
EC 5.4.1.2,1
EC 2.7.7.21,1
EC 2.7.7.23,1
EC 2.3.1.12,1
EC 4.2.1.33,2
EC 2.3.1.16,1
EC 2.3.1.19,1
EC 5.4.3.8,2
EC 5.1.1.1,1
EC 5.1.1.3,1
EC 5.1.1.7,1
EC 3.6.1.1,1
EC 4.99.1.1,1
EC 3.4.24.-,5
EC 1.1.1.42,1
EC 5.1.3.2,1
EC 5.1.3.1,5
EC 3.6.1.-,1
EC 1.1.1.44,1
EC 4.4.1.21,1
EC 3.6.3.2,1
EC 3.6.3.3,2
EC 5.1.3.9,1
EC 1.1.1.49,1
EC 3.1.21.2,1
EC 3.1.21.3,3
EC 4.2.1.113,1
EC 2.8.3.8,1
EC 4.2.99.18,2
EC 3.4.21.102,1
EC 5.3.99.-,2
EC 2.5.1.-,1
EC 2.5.1.6,1
EC 2.5.1.7,2
EC 2.5.1.3,1
EC 4.1.2.25,1
EC 1.1.1.282,2
EC 3.4.16.4,3
EC 3.1.11.6,2
EC 3.5.1.28,4
EC 2.3.2.3,1
EC 4.2.1.1,1
EC 5.99.1.3,2
EC 5.99.1.2,2
EC 6.3.2.13,1
EC 6.3.2.12,1
EC 6.3.2.10,1
EC 3.5.1.24,1
EC 3.5.1.25,2
EC 5.99.1.-,2
EC 3.1.5.1,1
EC 1.16.3.1,1
EC 3.4.11.24,1
EC 1.1.1.140,5
EC 2.4.1.83,2
EC 3.1.1.29,1
EC 3.2.2.20,1
EC 4.1.1.23,1
EC 4.1.1.21,2
EC 4.1.1.20,1
